E M
-2.98114 0.00938559
-2.97443 0.0569075
-2.96795 0.109063
-2.96171 0.165827
-2.95576 0.227142
-2.95012 0.292908
-2.94483 0.362987
-2.93991 0.437197
-2.9354 0.515314
-2.93133 0.59707
-2.92773 0.682153
-2.92462 0.770211
-2.92202 0.860852
-2.91995 0.95365
-2.91844 1.04815
-2.91748 1.14386
-2.91711 1.2092
-2.9173 1.11257
-2.91808 1.01626
-2.91943 0.920788
-2.92135 0.82666
-2.92383 0.734369
-2.92684 0.644381
-2.93038 0.557137
-2.93441 0.47304
-2.93892 0.392457
-2.94387 0.31571
-2.94923 0.243078
-2.95499 0.174796
-2.96109 0.11105
-2.96752 0.0519842
-2.97424 -0.00230422
-2.98121 -0.0517575
-2.98841 -0.0963576
-2.99581 -0.136122
-2.99663 -0.171101
-2.98893 -0.201373
-2.98112 -0.227043
-2.97323 -0.248236
-2.96527 -0.265096
-2.95727 -0.277781
-2.94926 -0.286463
-2.94124 -0.291319
-2.93323 -0.292535
-2.92526 -0.2903
-2.91733 -0.284804
-2.90946 -0.276238
-2.90165 -0.264789
-2.89392 -0.250645
-2.88627 -0.233985
-2.87872 -0.214987
-2.87127 -0.193822
-2.86391 -0.170654
-2.85667 -0.145641
-2.84954 -0.118935
-2.84252 -0.0906783
-2.83561 -0.0610094
-2.82883 -0.0300577
-2.82216 0.00205411
-2.81562 0.0352101
-2.80919 0.069301
-2.80289 0.104224
-2.7967 0.139884
-2.79063 0.176189
-2.78468 0.213057
-2.77884 0.250406
-2.77312 0.288166
-2.76752 0.326266
-2.76202 0.364644
-2.75664 0.403239
-2.75136 0.441998
-2.74619 0.480869
-2.74113 0.519806
-2.73617 0.558764
-2.73131 0.597703
-2.72654 0.636587
-2.72187 0.675381
-2.7173 0.714054
-2.71282 0.752577
-2.70843 0.790923
-2.70413 0.829069
-2.69991 0.866991
-2.69578 0.90467
-2.69173 0.942087
-2.68776 0.979226
-2.68387 1.01607
-2.68005 1.05261
-2.67631 1.08883
-2.67264 1.12471
-2.66904 1.16026
-2.66551 1.19546
-2.66205 1.2192
-2.65866 1.18472
-2.65533 1.15062
-2.65206 1.11689
-2.64885 1.08355
-2.64571 1.05059
-2.64262 1.01801
-2.63959 0.985829
-2.63661 0.954039
-2.63369 0.922642
-2.63082 0.891642
-2.628 0.861037
-2.62523 0.830829
-2.62252 0.801018
-2.61984 0.771602
-2.61722 0.742582
-2.61464 0.713957
-2.61211 0.685725
-2.60962 0.657886
-2.60717 0.630436
-2.60476 0.603375
-2.6024 0.576701
-2.60007 0.550411
-2.59779 0.524504
-2.59554 0.498976
-2.59332 0.473825
-2.59115 0.449049
-2.589 0.424644
-2.5869 0.400608
-2.58482 0.376938
-2.58278 0.353631
-2.58078 0.330684
-2.5788 0.308094
-2.57685 0.285857
-2.57494 0.263971
-2.57305 0.242432
-2.5712 0.221237
-2.56937 0.200383
-2.56757 0.179866
-2.56579 0.159683
-2.56404 0.13983
-2.56232 0.120306
-2.56063 0.101105
-2.55895 0.0822252
-2.55731 0.0636629
-2.55568 0.0454148
-2.55408 0.0274776
-2.55251 0.00984792
-2.55095 -0.0074774
-2.54942 -0.0245016
-2.54791 -0.0412281
-2.54642 -0.0576599
-2.54495 -0.0738003
-2.5435 -0.0896525
-2.54207 -0.10522
-2.54066 -0.120505
-2.53927 -0.135511
-2.53789 -0.150242
-2.53654 -0.1647
-2.5352 -0.178888
-2.53389 -0.19281
-2.53259 -0.206468
-2.5313 -0.219865
-2.53003 -0.233004
-2.52878 -0.245889
-2.52755 -0.258521
-2.52633 -0.270904
-2.52513 -0.283041
-2.52394 -0.294934
-2.52277 -0.306586
-2.52161 -0.318
-2.52047 -0.329178
-2.51934 -0.340124
-2.51822 -0.350839
-2.51712 -0.361326
-2.51603 -0.371589
-2.51496 -0.381628
-2.51389 -0.391448
-2.51284 -0.40105
-2.51181 -0.410437
-2.51078 -0.419611
-2.50977 -0.428574
-2.50877 -0.43733
-2.50778 -0.445879
-2.5068 -0.454226
-2.50584 -0.462371
-2.50488 -0.470317
-2.50394 -0.478066
-2.50301 -0.485621
-2.50209 -0.492984
-2.50117 -0.500156
-2.50027 -0.50714
-2.49938 -0.513939
-2.4985 -0.520553
-2.49763 -0.526985
-2.49677 -0.533237
-2.49591 -0.539311
-2.49507 -0.545209
-2.49424 -0.550933
-2.49341 -0.556485
-2.4926 -0.561867
-2.49179 -0.56708
-2.49099 -0.572126
-2.4902 -0.577008
-2.48942 -0.581726
-2.48865 -0.586283
-2.48789 -0.590681
-2.48713 -0.594921
-2.48638 -0.599005
-2.48564 -0.602934
-2.48491 -0.606711
-2.48418 -0.610336
-2.48346 -0.613812
-2.48275 -0.61714
-2.48205 -0.620322
-2.48135 -0.623359
-2.48066 -0.626252
-2.47998 -0.629005
-2.47931 -0.631616
-2.47864 -0.634089
-2.47798 -0.636425
-2.47732 -0.638625
-2.47667 -0.640691
-2.47603 -0.642624
-2.47539 -0.644425
-2.47476 -0.646096
-2.47414 -0.647638
-2.47352 -0.649053
-2.47291 -0.650341
-2.47231 -0.651505
-2.47171 -0.652545
-2.47111 -0.653463
-2.47053 -0.65426
-2.46994 -0.654937
-2.46937 -0.655496
-2.4688 -0.655937
-2.46823 -0.656263
-2.46767 -0.656473
-2.46711 -0.65657
-2.46656 -0.656554
-2.46602 -0.656427
-2.46548 -0.65619
-2.46494 -0.655844
-2.46441 -0.65539
-2.46389 -0.654829
-2.46337 -0.654162
-2.46285 -0.65339
-2.46234 -0.652515
-2.46184 -0.651537
-2.46134 -0.650458
-2.46084 -0.649278
-2.46035 -0.647998
-2.45986 -0.64662
-2.45938 -0.645145
-2.4589 -0.643573
-2.45842 -0.641906
-2.45795 -0.640143
-2.45748 -0.638288
-2.45702 -0.636339
-2.45656 -0.634299
-2.45611 -0.632168
-2.45566 -0.629947
-2.45521 -0.627638
-2.45477 -0.625239
-2.45433 -0.622754
-2.4539 -0.620182
-2.45347 -0.617525
-2.45304 -0.614783
-2.45262 -0.611958
-2.4522 -0.609049
-2.45178 -0.606058
-2.45137 -0.602986
-2.45096 -0.599833
-2.45056 -0.596601
-2.45016 -0.593289
-2.44976 -0.5899
-2.44936 -0.586433
-2.44897 -0.582889
-2.44858 -0.57927
-2.4482 -0.575575
-2.44782 -0.571806
-2.44744 -0.567964
-2.44706 -0.564049
-2.44669 -0.560061
-2.44632 -0.556002
