E M
-2.77283 0.506517
-2.77289 0.505627
-2.77296 0.504739
-2.77302 0.503851
-2.77308 0.502963
-2.77315 0.502076
-2.77321 0.50119
-2.77327 0.500305
-2.77334 0.49942
-2.7734 0.498535
-2.77346 0.497651
-2.77353 0.496768
-2.77359 0.495885
-2.77366 0.495003
-2.77372 0.494122
-2.77378 0.493241
-2.77385 0.492361
-2.77391 0.491481
-2.77398 0.490602
-2.77404 0.489724
-2.77411 0.488846
-2.77417 0.487969
-2.77424 0.487092
-2.7743 0.486216
-2.77437 0.485341
-2.77443 0.484466
-2.7745 0.483592
-2.77456 0.482718
-2.77463 0.481845
-2.77469 0.480973
-2.77476 0.480101
-2.77482 0.47923
-2.77489 0.47836
-2.77495 0.47749
-2.77502 0.476621
-2.77509 0.475752
-2.77515 0.474884
-2.77522 0.474016
-2.77528 0.47315
-2.77535 0.472283
-2.77541 0.471418
-2.77548 0.470553
-2.77555 0.469688
-2.77561 0.468825
-2.77568 0.467961
-2.77575 0.467099
-2.77581 0.466237
-2.77588 0.465376
-2.77595 0.464515
-2.77601 0.463655
-2.77608 0.462796
-2.77615 0.461937
-2.77621 0.461079
-2.77628 0.460221
-2.77635 0.459364
-2.77642 0.458508
-2.77648 0.457652
-2.77655 0.456797
-2.77662 0.455943
-2.77668 0.455089
-2.77675 0.454236
-2.77682 0.453383
-2.77689 0.452531
-2.77696 0.45168
-2.77702 0.450829
-2.77709 0.449979
-2.77716 0.44913
-2.77723 0.448281
-2.7773 0.447433
-2.77736 0.446585
-2.77743 0.445738
-2.7775 0.444892
-2.77757 0.444046
-2.77764 0.443201
-2.77771 0.442357
-2.77777 0.441513
-2.77784 0.44067
-2.77791 0.439828
-2.77798 0.438986
-2.77805 0.438145
-2.77812 0.437304
-2.77819 0.436464
-2.77826 0.435625
-2.77833 0.434786
-2.7784 0.433948
-2.77847 0.433111
-2.77853 0.432274
-2.7786 0.431438
-2.77867 0.430602
-2.77874 0.429768
-2.77881 0.428933
-2.77888 0.4281
-2.77895 0.427267
-2.77902 0.426435
-2.77909 0.425603
-2.77916 0.424772
-2.77923 0.423942
-2.7793 0.423112
-2.77937 0.422283
-2.77944 0.421455
-2.77951 0.420627
-2.77958 0.4198
-2.77966 0.418973
-2.77973 0.418148
-2.7798 0.417322
-2.77987 0.416498
-2.77994 0.415674
-2.78001 0.414851
-2.78008 0.414028
-2.78015 0.413206
-2.78022 0.412385
-2.78029 0.411564
-2.78036 0.410744
-2.78044 0.409925
-2.78051 0.409106
-2.78058 0.408288
-2.78065 0.407471
-2.78072 0.406654
-2.78079 0.405838
-2.78087 0.405023
-2.78094 0.404208
-2.78101 0.403394
-2.78108 0.40258
-2.78115 0.401768
-2.78122 0.400956
-2.7813 0.400144
-2.78137 0.399333
-2.78144 0.398523
-2.78151 0.397714
-2.78159 0.396905
-2.78166 0.396097
-2.78173 0.395289
-2.7818 0.394482
-2.78188 0.393676
-2.78195 0.39287
-2.78202 0.392065
-2.7821 0.391261
-2.78217 0.390458
-2.78224 0.389655
-2.78231 0.388853
-2.78239 0.388051
-2.78246 0.38725
-2.78253 0.38645
-2.78261 0.38565
-2.78268 0.384851
-2.78275 0.384053
-2.78283 0.383255
-2.7829 0.382458
-2.78298 0.381662
-2.78305 0.380867
-2.78312 0.380072
-2.7832 0.379277
-2.78327 0.378484
-2.78334 0.377691
-2.78342 0.376899
-2.78349 0.376107
-2.78357 0.375316
-2.78364 0.374526
-2.78372 0.373736
-2.78379 0.372947
-2.78386 0.372159
-2.78394 0.371372
-2.78401 0.370585
-2.78409 0.369798
-2.78416 0.369013
-2.78424 0.368228
-2.78431 0.367444
-2.78439 0.36666
-2.78446 0.365877
-2.78454 0.365095
-2.78461 0.364314
-2.78469 0.363533
-2.78476 0.362753
-2.78484 0.361973
-2.78491 0.361194
-2.78499 0.360416
-2.78507 0.359639
-2.78514 0.358862
-2.78522 0.358086
-2.78529 0.357311
-2.78537 0.356536
-2.78544 0.355762
-2.78552 0.354988
-2.7856 0.354216
-2.78567 0.353444
-2.78575 0.352672
-2.78582 0.351902
-2.7859 0.351132
-2.78598 0.350363
-2.78605 0.349594
-2.78613 0.348826
-2.78621 0.348059
-2.78628 0.347292
-2.78636 0.346526
-2.78644 0.345761
-2.78651 0.344997
-2.78659 0.344233
-2.78667 0.34347
-2.78674 0.342707
-2.78682 0.341945
-2.7869 0.341184
-2.78698 0.340424
-2.78705 0.339664
-2.78713 0.338905
-2.78721 0.338147
-2.78729 0.337389
-2.78736 0.336632
-2.78744 0.335876
-2.78752 0.33512
-2.7876 0.334365
-2.78767 0.333611
-2.78775 0.332858
-2.78783 0.332105
-2.78791 0.331353
-2.78798 0.330601
-2.78806 0.329851
-2.78814 0.329101
-2.78822 0.328351
-2.7883 0.327603
-2.78838 0.326855
-2.78845 0.326107
-2.78853 0.325361
-2.78861 0.324615
-2.78869 0.32387
-2.78877 0.323125
-2.78885 0.322381
-2.78893 0.321638
-2.789 0.320896
-2.78908 0.320154
-2.78916 0.319413
-2.78924 0.318673
-2.78932 0.317933
-2.7894 0.317194
-2.78948 0.316456
-2.78956 0.315718
-2.78964 0.314981
-2.78972 0.314245
-2.7898 0.31351
-2.78987 0.312775
-2.78995 0.312041
-2.79003 0.311308
-2.79011 0.310575
-2.79019 0.309843
-2.79027 0.309112
-2.79035 0.308381
-2.79043 0.307651
-2.79051 0.306922
-2.79059 0.306194
-2.79067 0.305466
-2.79075 0.304739
-2.79083 0.304012
-2.79091 0.303287
-2.79099 0.302562
-2.79107 0.301838
-2.79115 0.301114
-2.79124 0.300391
-2.79132 0.299669
-2.7914 0.298948
-2.79148 0.298227
-2.79156 0.297507
-2.79164 0.296788
-2.79172 0.296069
-2.7918 0.295351
-2.79188 0.294634
-2.79196 0.293917
-2.79204 0.293202
-2.79212 0.292487
-2.79221 0.291772
-2.79229 0.291059
-2.79237 0.290346
-2.79245 0.289633
-2.79253 0.288922
-2.79261 0.288211
-2.79269 0.287501
-2.79278 0.286792
-2.79286 0.286083
-2.79294 0.285375
-2.79302 0.284668
-2.7931 0.283961
-2.79318 0.283255
-2.79327 0.28255
-2.79335 0.281846
-2.79343 0.281142
-2.79351 0.280439
-2.7936 0.279737
-2.79368 0.279035
-2.79376 0.278334
-2.79384 0.277634
-2.79392 0.276934
-2.79401 0.276236
-2.79409 0.275538
-2.79417 0.27484
-2.79425 0.274144
-2.79434 0.273448
-2.79442 0.272753
-2.7945 0.272058
-2.79459 0.271365
-2.79467 0.270672
-2.79475 0.269979
-2.79484 0.269288
-2.79492 0.268597
-2.795 0.267907
-2.79508 0.267217
-2.79517 0.266529
-2.79525 0.265841
-2.79533 0.265153
-2.79542 0.264467
-2.7955 0.263781
-2.79559 0.263096
-2.79567 0.262411
-2.79575 0.261728
-2.79584 0.261045
-2.79592 0.260362
-2.796 0.259681
-2.79609 0.259
-2.79617 0.25832
-2.79626 0.257641
-2.79634 0.256962
-2.79642 0.256284
-2.79651 0.255607
-2.79659 0.25493
-2.79668 0.254255
-2.79676 0.253579
-2.79685 0.252905
-2.79693 0.252232
-2.79701 0.251559
-2.7971 0.250886
-2.79718 0.250215
-2.79727 0.249544
-2.79735 0.248874
-2.79744 0.248205
-2.79752 0.247537
-2.79761 0.246869
-2.79769 0.246202
-2.79778 0.245535
-2.79786 0.24487
-2.79795 0.244205
-2.79803 0.24354
-2.79812 0.242877
-2.7982 0.242214
-2.79829 0.241552
-2.79837 0.240891
-2.79846 0.24023
-2.79855 0.23957
-2.79863 0.238911
-2.79872 0.238253
-2.7988 0.237595
-2.79889 0.236938
-2.79897 0.236282
-2.79906 0.235627
-2.79915 0.234972
-2.79923 0.234318
-2.79932 0.233664
-2.7994 0.233012
-2.79949 0.23236
-2.79958 0.231709
-2.79966 0.231058
-2.79975 0.230409
-2.79984 0.22976
-2.79992 0.229112
-2.80001 0.228464
-2.80009 0.227817
-2.80018 0.227171
-2.80027 0.226526
-2.80035 0.225882
-2.80044 0.225238
-2.80053 0.224595
-2.80061 0.223952
-2.8007 0.223311
-2.80079 0.22267
-2.80087 0.22203
-2.80096 0.22139
-2.80105 0.220751
-2.80114 0.220113
-2.80122 0.219476
-2.80131 0.21884
-2.8014 0.218204
-2.80149 0.217569
-2.80157 0.216934
-2.80166 0.216301
-2.80175 0.215668
-2.80183 0.215036
-2.80192 0.214404
-2.80201 0.213774
-2.8021 0.213144
-2.80219 0.212515
-2.80227 0.211886
-2.80236 0.211258
-2.80245 0.210631
-2.80254 0.210005
-2.80262 0.20938
-2.80271 0.208755
-2.8028 0.208131
-2.80289 0.207508
-2.80298 0.206885
-2.80307 0.206263
-2.80315 0.205642
-2.80324 0.205022
-2.80333 0.204402
-2.80342 0.203783
-2.80351 0.203165
-2.8036 0.202547
-2.80368 0.201931
-2.80377 0.201315
-2.80386 0.2007
-2.80395 0.200085
-2.80404 0.199471
-2.80413 0.198858
-2.80422 0.198246
-2.80431 0.197634
-2.8044 0.197024
-2.80448 0.196414
-2.80457 0.195804
-2.80466 0.195196
-2.80475 0.194588
-2.80484 0.193981
-2.80493 0.193374
