E M
-2.63916 -0.138233
-2.639 -0.138387
-2.63884 -0.138535
-2.63868 -0.138678
-2.63851 -0.138815
-2.63835 -0.138946
-2.63819 -0.139072
-2.63803 -0.139192
-2.63787 -0.139307
-2.63771 -0.139416
-2.63755 -0.139519
-2.63739 -0.139617
-2.63723 -0.139709
-2.63707 -0.139795
-2.63692 -0.139876
-2.63676 -0.139952
-2.6366 -0.140022
-2.63644 -0.140086
-2.63629 -0.140145
-2.63613 -0.140198
-2.63597 -0.140246
-2.63582 -0.140288
-2.63566 -0.140325
-2.6355 -0.140357
-2.63535 -0.140382
-2.63519 -0.140403
-2.63504 -0.140418
-2.63489 -0.140427
-2.63473 -0.140431
-2.63458 -0.14043
-2.63442 -0.140423
-2.63427 -0.140411
-2.63412 -0.140393
-2.63397 -0.14037
-2.63381 -0.140342
-2.63366 -0.140308
-2.63351 -0.140269
-2.63336 -0.140225
-2.63321 -0.140175
-2.63306 -0.14012
-2.63291 -0.140059
-2.63276 -0.139994
-2.63261 -0.139922
-2.63246 -0.139846
-2.63231 -0.139764
-2.63216 -0.139677
-2.63201 -0.139585
-2.63186 -0.139488
-2.63171 -0.139385
-2.63157 -0.139277
-2.63142 -0.139163
-2.63127 -0.139045
-2.63113 -0.138921
-2.63098 -0.138792
-2.63083 -0.138658
-2.63069 -0.138519
-2.63054 -0.138374
-2.6304 -0.138225
-2.63025 -0.13807
-2.63011 -0.13791
-2.62996 -0.137744
-2.62982 -0.137574
-2.62967 -0.137399
-2.62953 -0.137218
-2.62939 -0.137032
-2.62924 -0.136841
-2.6291 -0.136645
-2.62896 -0.136444
-2.62882 -0.136238
-2.62867 -0.136027
-2.62853 -0.135811
-2.62839 -0.13559
-2.62825 -0.135363
-2.62811 -0.135132
-2.62797 -0.134895
-2.62783 -0.134654
-2.62769 -0.134407
-2.62755 -0.134156
-2.62741 -0.133899
-2.62727 -0.133638
-2.62713 -0.133372
-2.62699 -0.1331
-2.62685 -0.132824
-2.62671 -0.132542
-2.62658 -0.132256
-2.62644 -0.131965
-2.6263 -0.131669
-2.62617 -0.131368
-2.62603 -0.131062
-2.62589 -0.130751
-2.62576 -0.130435
-2.62562 -0.130114
-2.62548 -0.129789
-2.62535 -0.129458
-2.62521 -0.129123
-2.62508 -0.128783
-2.62494 -0.128438
-2.62481 -0.128088
-2.62468 -0.127733
-2.62454 -0.127374
-2.62441 -0.12701
-2.62428 -0.126641
-2.62414 -0.126267
-2.62401 -0.125888
-2.62388 -0.125505
-2.62374 -0.125116
-2.62361 -0.124723
-2.62348 -0.124326
-2.62335 -0.123923
-2.62322 -0.123516
-2.62309 -0.123104
-2.62296 -0.122687
-2.62283 -0.122266
-2.6227 -0.12184
-2.62257 -0.121409
